Date,Description,Amount,Balance
01/15/2026,SALARY DIRECT DEPOSIT - ACME CORP,5000.00,8500.00
01/14/2026,STARBUCKS COFFEE #1234,-6.50,3500.00
01/13/2026,DOORDASH*CHIPOTLE,-28.45,3506.50
01/11/2026,WHOLE FOODS MARKET #456,-127.89,3534.95
01/10/2026,UBER TRIP,-18.50,3662.84
01/09/2026,PANERA BREAD #789,-15.32,3681.34
01/08/2026,SHELL OIL STATION,-52.00,3696.66
01/07/2026,NETFLIX SUBSCRIPTION,-15.99,3748.66
01/07/2026,SPOTIFY PREMIUM,-10.99,3764.65
01/06/2026,AMAZON.COM*MARKETPLACE,-156.78,3775.64
01/05/2026,TRADER JOES #234,-85.67,3932.42
01/04/2026,TARGET STORE #1234,-94.23,4018.09
01/03/2026,LYFT RIDE,-22.75,4112.32
01/02/2026,STARBUCKS COFFEE #1234,-7.25,4135.07
12/30/2025,AMAZON.COM*ELECTRONICS,-299.99,4142.32
12/28/2025,UBEREATS*LOCAL RESTAURANT,-42.18,4442.31
12/27/2025,AMC THEATRES,-32.50,4484.49
12/26/2025,VERIZON WIRELESS,-85.00,4516.99
12/25/2025,COMCAST INTERNET,-79.99,4601.99
12/23/2025,BEST BUY #5678,-179.50,4681.98
12/22/2025,CHEVRON GAS,-48.30,4861.48
12/20/2025,PELOTON MEMBERSHIP,-44.00,4909.78
12/19/2025,PROGRESSIVE INSURANCE,-120.00,4953.78
12/18/2025,CVS PHARMACY #9876,-45.67,5073.78
12/15/2025,SALARY DIRECT DEPOSIT - ACME CORP,5000.00,5119.45
12/14/2025,ELECTRIC UTILITY COMPANY,-145.32,119.45
12/12/2025,DR SMITH MEDICAL OFFICE,-150.00,264.77
12/10/2025,STARBUCKS COFFEE #1234,-6.75,414.77
12/08/2025,AMAZON.COM*MARKETPLACE,-87.23,421.52
12/05/2025,WHOLE FOODS MARKET #456,-112.34,508.75
12/03/2025,SHELL OIL STATION,-55.00,621.09
12/01/2025,NETFLIX SUBSCRIPTION,-15.99,676.09
